UMAP1,UMAP2
9.328008,4.4293933
8.3579855,3.2764032
9.325472,2.349773
7.413862,2.5166326
9.583126,1.4891275
9.351554,4.47793
7.3503017,2.2425792
8.42533,2.9855921
10.371217,3.37513
6.927494,4.2311335
5.9714384,3.7725854
7.4275684,3.8138418
6.7020845,3.7207935
4.198284,4.8495803
9.197793,2.052162
9.551633,2.0232952
5.7239637,4.984022
5.6559687,3.4505055
5.931265,4.0594163
5.7491302,3.0686586
5.3854976,3.7894845
7.256307,2.657975
9.92729,3.4275107
3.385938,3.5486615
9.1881,1.4703695
6.0916038,3.2661326
9.566614,1.7007589
5.38686,4.924951
7.465352,2.2165263
9.478989,4.4190297
5.7182965,4.108537
7.6260595,3.0991528
9.816921,3.427363
5.5375667,3.6090384
8.35659,1.8678559
7.186141,4.1808157
5.5965085,5.0966682
5.862739,3.2818723
5.270831,4.252432
9.734428,3.3951294
6.647158,3.416108
7.2005277,3.1696055
9.6699095,2.9494324
8.348278,1.8374125
6.9164124,3.1982555
5.6933303,4.2378616
9.194646,1.9239974
8.245484,2.7263222
9.959615,3.317356
9.445568,4.445729
5.3077984,3.836156
9.218022,3.329959
7.851631,1.940211
6.0967774,4.000538
7.2838726,4.2117524
9.345977,2.8174338
3.9939332,3.540772
6.599968,3.4350057
5.9059772,4.022024
9.253809,2.4458096
6.232172,4.177355
3.936781,7.983838
3.1838794,6.90378
3.8178177,7.998657
3.539681,7.655385
4.1158504,4.970133
4.1408834,5.2918544
3.498799,6.6935005
3.4758847,6.637441
4.7410345,6.8307433
2.6774464,5.140922
4.5409026,3.5886552
4.7369866,4.8028917
4.1330805,7.154408
3.7325442,5.2525787
6.0849733,4.02229
3.897267,7.154153
4.595132,7.309948
0.00801057,3.2361991
4.0898075,5.0652328
3.437015,7.4445887
3.9933052,6.0178366
3.83133,6.9330792
3.5484219,7.381624
3.8556697,8.007663
3.6534188,7.5417027
3.7059338,7.9328814
4.390474,7.610019
4.1079607,7.757057
3.9656236,5.695831
3.6870205,6.8857636
4.238474,7.49493
3.963195,7.2734222
3.8084934,7.56092
4.1970677,5.262197
4.1258564,7.9384027
4.5155425,7.267432
3.306482,7.519839
4.3791137,7.742828
3.9358854,6.3384404
3.7925744,5.60192
3.2428052,3.5038726
5.788575,3.7476096
3.6151807,6.519632
3.56792,4.1081886
4.2907925,3.328909
4.713456,6.1599345
4.5671854,6.3015056
4.2311587,7.5156236
2.2983012,4.687348
4.4886703,5.861889
4.389361,6.6534534
4.1493807,7.959303
5.2877774,5.4377675
4.514157,4.8933043
4.204376,5.261459
5.630651,3.318751
3.501358,4.7544246
3.3299599,4.6517487
3.9593105,5.0307636
3.5044436,7.7820525
4.644485,6.2683306
4.479838,6.743391
3.1177208,5.108963
4.99114,5.421772
3.2969065,5.997416
5.3866386,5.3870325
2.1783571,4.569007
3.5799105,7.3195963
3.6926966,7.175045
5.604249,4.7687097
4.6154876,6.3476515
4.107718,6.375269
3.8858044,7.4505434
3.2511017,6.887383
5.150659,5.604113
4.4620767,7.3054085
4.1480837,5.5955954
3.1165042,5.584986
4.1177335,6.844598
10.314667,3.5431516
9.845377,1.4906745
9.5104475,4.203893
8.6762705,2.5047271
8.95018,3.256094
3.0946102,3.8324285
6.5557275,4.412997
9.624547,4.355205
10.218166,3.4921575
5.8147426,3.25216
7.3019104,4.0950646
9.053221,2.5732281
9.753376,1.4552325
8.733003,1.8228174
8.101146,1.8161933
9.7839365,3.9434607
10.032729,3.7238925
10.4119625,3.5038452
9.723619,2.8081214
8.736326,3.4091485
8.407609,2.196022
8.745102,2.188364
4.8412576,3.6715693
10.013985,1.4502002
9.216068,1.8689178
10.326516,3.5816803
8.401503,1.463713
8.719522,1.7365617
6.972408,4.276264
6.160053,3.7835786
9.986675,3.0997655
7.5607123,4.2882533
9.935072,1.4162775
5.205547,4.804001
9.020806,2.0142074
7.3669014,2.499104
9.879992,1.3487206
8.828908,2.3332984
8.444277,1.4422286
9.025655,2.957508
9.392726,4.204409
8.117519,3.1904795
9.760509,1.57412
9.848685,2.9111512
6.0102654,3.1808636
9.675403,4.059334
9.703472,1.5891632
10.480063,3.3871129
10.098739,1.4952986
5.9460053,3.6016405
3.058754,4.738639
3.0222015,4.9608536
5.148693,3.3664463
1.9802465,4.5317535
5.2656775,3.2987127
3.1808627,5.0314837
3.5303602,4.5586433
3.8976808,4.602051
3.2097485,4.210674
3.0742853,3.3371212
3.6124518,7.1861815
3.090491,3.5456982
2.8992932,4.2496595
3.3422318,4.5060687
3.0328026,5.18291
4.9560065,3.9407506
3.2135646,3.9830852
2.136841,4.657018
3.7926903,5.887021
2.431598,4.410886
3.7616298,3.6007152
3.9599142,4.605825
3.1462986,3.7263458
3.468496,4.9904957
3.8596787,3.4129188
3.8962028,6.107792
3.5460556,5.670391
4.0631356,6.6764593
3.3896315,4.3753586
3.2656014,5.4642663
3.2388551,3.6945229
3.1091077,5.003313
3.3465083,3.4511838
3.6352925,5.8050017
4.3746595,5.987143
3.061907,3.474049
3.3287604,4.7666135
3.2121081,3.419953
1.7731189,4.4768186
2.872967,4.856249
0.34371492,3.6947327
0.42298257,3.7272503
0.8471077,3.968052
0.71309334,3.5236034
0.1598078,2.528456
0.45194075,2.8891737
0.581769,3.4961934
0.2884686,3.25435
0.8598197,4.019631
0.17415911,3.43188
-0.059183676,3.624632
0.49627516,2.86893
1.0395646,3.0356035
0.16367204,3.6302812
0.7064364,3.3034704
0.09716248,2.5206285
0.024156885,2.5492892
-0.05411884,3.5729494
0.20439179,2.6908479
0.027660543,2.6439142
0.72974825,3.9345548
0.007880679,2.5738451
0.30427635,2.7342453
0.61369497,3.8192556
-0.08905679,3.352796
0.46553093,3.6399627
0.63213426,3.178832
0.5153783,3.0103936
0.38271788,3.7937016
0.31024718,2.621265
-0.08591347,3.3239663
0.12619564,2.444901
0.77433634,3.201741
0.9433938,4.0626554
0.79812974,3.2330701
9.5365715,3.3232758
7.7878966,2.500684
8.396245,1.5435288
9.424222,3.2526832
8.355113,1.4899505
10.018811,3.4780118
9.506536,4.3688655
9.256347,3.635071
9.366755,4.205514
9.397901,3.9616199
7.7777553,2.3948655
5.4712605,3.3593879
5.585029,2.9534445
8.533575,2.8362198
8.165573,2.9641426
8.119488,1.7952818
8.010711,1.9368017
8.879727,3.0335763
9.732722,3.0413296
9.243896,3.0669448
8.876585,4.275446
9.619977,1.9449544
9.477456,2.7056084
8.194125,2.0128198
9.309864,4.265347
7.826067,2.8607717
9.342787,2.3537078
9.106923,4.438076
5.6116166,3.0052934
7.4259157,2.321006
8.387312,1.5824513
9.992501,3.2763603
9.427008,3.1430824
8.060504,2.148024
9.318215,2.1874788
